地区_x,博物馆名字,博物馆性质,性质,质量等级,是否,藏品数,珍贵文物,展览,教育活动,参观人数,地区_y
洪山区,中南民族大学民族学博物馆,高校,,,,,,,,,
技术开发区,中南财经政法大学中国货币金融历史博物馆,高校,,,,,,,,,
武昌区,中国共产党第五次全国代表大会会址纪念馆,国有,,,,,,,,,
洪山区,中国地质大学逸夫博物馆,高校,,,,,,,,,
洪山区,中国科学院武汉植物博物馆,行业,,,,,,,,,
其他,京汉铁路总工会旧址管理所,国有,,,,,,,,,
江岸区,八七会议会址纪念馆,国有,,,,,,,,,
江岸区,八路军武汉办事处旧址纪念馆,国有,,,,,,,,,
洪山区,华中农业大学博物馆,高校,,,,,,,,,
洪山区,华中师范大学博物馆,高校,,,,,,,,,
其他,宋庆龄汉口旧居纪念馆,行业,,,,,,,,,
风景区,屈原纪念馆,行业,,,,,,,,,
汉阳区,张之洞与汉阳铁厂博物馆,行业,,,,,,,,,
武昌区,武昌农民运动讲习所旧址纪念馆,国有,,,,,,,,,
武昌区,武昌毛泽东旧居陈列馆,国有,,,,,,,,,
武昌区,武昌起义门旧址管理所,国有,,,,,,,,,
武昌区,三汉雕塑艺术博物馆,民办,非国有,未定级,是,366,0,1,4,4.1,洪山区
风景区,武汉东湖梅花博物馆,行业,,,,,,,,,
其他,武汉东湖毛泽东旧居陈列馆,行业,,,,,,,,,
风景区,武汉东湖荷花博物馆,行业,,,,,,,,,
其他,二七纪念馆,行业,行业,三级,是,5700,20,4,43,14.5,江夏区
蔡甸区,侏儒山战役博物馆,民办,非国有,未定级,是,283,0,7,397,10.9,蔡甸区
风景区,凡氏老相机博物馆,民办,非国有,未定级,是,310,0,1,0,4,黄陂区
其他,武汉博物馆,国有,,,,,,,,,
江岸区,武汉国民政府旧址纪念馆,国有,,,,,,,,,
江岸区,壶语堂博物馆,民办,非国有,未定级,是,3030,0,2,10,4.9,蔡甸区
其他,大余湾社区博物馆,民办,非国有,未定级,是,104,0,1,38,7.9,江夏区
其他,大唐陶瓷博物馆,民办,非国有,未定级,是,1554,0,7,5,4.8,武昌区
其他,武汉大禹文化博物馆,国有,,,,,,,,,
蔡甸区,天人合一奇石博物馆,民办,非国有,未定级,是,398,0,1,1,1.5,汉南区
其他,奇石文化博物馆,行业,行业,未定级,是,3000,0,2,8,5.1,洪山区
江夏区,中山舰博物馆,国有,文物,一级,是,6612,3111,13,78,50,江夏区
新洲区,新洲区博物馆,国有,文物,未定级,是,394,138,12,12,11.6,新洲区
新洲区,新洲区博物馆,国有,文物,未定级,是,394,138,12,12,11.6,武昌区
汉南区,汉南区博物馆,国有,文物,未定级,是,300,0,6,11,1.6,汉南区
汉南区,汉南区博物馆,国有,文物,未定级,是,300,0,6,11,1.6,武昌区
江夏区,江夏区博物馆,国有,文物,未定级,是,1767,526,3,7,8.3,江夏区
江夏区,江夏区博物馆,国有,文物,未定级,是,1767,526,3,7,8.3,武昌区
黄陂区,武汉市盘龙城遗址博物馆,国有,,,,,,,,,
蔡甸区,蔡甸区博物馆,国有,文物,未定级,是,358,203,2,13,2,蔡甸区
蔡甸区,蔡甸区博物馆,国有,文物,未定级,是,358,203,2,13,2,洪山区
黄陂区,黄陂区博物馆,国有,文物,未定级,是,1404,300,1,5,1.2,黄陂区
黄陂区,黄陂区博物馆,国有,文物,未定级,是,1404,300,1,5,1.2,武昌区
洪山区,康思农蜜蜂博物馆,民办,非国有,未定级,是,480,0,2,10,3.7,洪山区
青山区,李庄古建筑博物馆,民办,非国有,未定级,否,1282,0,7,2,20.4,东西湖区
其他,杨楼子老榨坊博物馆,民办,非国有,未定级,是,305,0,1,2,2.3,青山区
汉阳区,武汉桥文化博物馆,行业,,,,,,,,,
青山区,武汉殡仪民俗文化博物馆,行业,,,,,,,,,
汉阳区,永庭石画博物馆,民办,非国有,未定级,是,11181,0,5,6,2.2,黄陂区
汉阳区,汉绣博物馆,民办,非国有,未定级,是,231,0,2,2,0.5,江岸区
新洲区,武汉生物工程学院博物馆,高校,,,,,,,,,
汉阳区,武汉白求恩纪念馆,行业,,,,,,,,,
洪山区,武汉益合当代艺术博物馆,民办,,,,,,,,,
其他,硚口民族工业博物馆,行业,行业,未定级,是,261,0,15,2,0.3,武昌区
武昌区,武汉禁毒教育基地,行业,,,,,,,,,
江汉区,武汉税收博物馆,行业,,,,,,,,,
风景区,蓝光艺术博物馆,民办,非国有,未定级,是,96,0,0,0,0,汉阳区
江夏区,虞小风指画博物馆,民办,非国有,未定级,是,3980,0,3,8,0.7,武昌区
其他,达临性学博物馆,民办,非国有,未定级,否,3033,0,3,7,5.8,新洲区
武昌区,道一堂中医药博物馆,民办,非国有,未定级,是,298,0,2,2,1,汉南区
其他,鄂菜博物馆,高校,行业,未定级,是,350,0,0,150,1.2,洪山区
其他,金楠雅苑金丝楠木博物馆,民办,非国有,未定级,是,1001,0,7,10,9,武昌区
江岸区,钻石艺术博物馆,民办,非国有,未定级,否,859,0,2,8,2.3,武昌区
江夏区,铁盾书画艺术博物馆,民办,非国有,未定级,是,666,0,3,3,1.8,武昌区
技术开发区,武汉长庭陶瓷博物馆,民办,,,,,,,,,
洪山区,青菱文农艺术博物馆,民办,非国有,未定级,是,7270,0,5,5,3.5,洪山区
汉阳区,高龙博物馆,民办,非国有,未定级,是,94,0,2,2,0.5,武昌区
青山区,武钢博物馆,行业,,,,,,,,,
江岸区,汉口新四军军部旧址纪念馆,国有,,,,,,,,,
其他,汉正街博物馆,行业,行业,未定级,是,515,0,3,4,0.2,蔡甸区
武昌区,湖北佳和当代艺术博物馆,民办,,,,,,,,,
风景区,湖北兰文化博物馆,民办,,,,,,,,,
其他,湖北地质博物馆,行业,,,,,,,,,
武昌区,湖北大学博物馆,高校,,,,,,,,,
武昌区,湖北省博物馆,国有,,,,,,,,,
其他,湖北省明代藩王博物馆,国有,,,,,,,,,
江夏区,湖北经济学院博物馆,高校,,,,,,,,,
武昌区,湖北艺术博物馆,国有,,,,,,,,,
硚口区,湖北警察史博物馆,行业,,,,,,,,,
武昌区,湖北钱币博物馆,行业,,,,,,,,,
武昌区,湖北音乐博物馆,高校,,,,,,,,,
江岸区,詹天佑故居管理所,国有,,,,,,,,,
武昌区,革命博物馆,国有,文物,二级,是,27903,457,35,99,224,武昌区
武昌区,辛亥革命武昌起义纪念馆,国有,,,,,,,,,
武昌区,陈潭秋烈士纪念馆,国有,,,,,,,,,
