序号,传承人,项目名称汉剧,项目名称,备注
国家级非物质文化遗产名录项目代表性传承人（第三批6人）,,,,
序号,传承人,项目名称,,备注
2,胡和颜,汉剧,,
3,程彩萍,汉剧,,
4,张一平,楚剧,,
5,何祚欢,湖北评书,,
6,张明智,湖北大鼓,,
7,龙从发,武汉木雕船模,,
国家级非物质文化遗产名录项目代表性传承人推荐名单（第四批4人）,,,,
序号,传承人,项目名称,,备注
8,程良美,汉剧,,
9,荣明祥,楚剧,,
10,张光明,楚剧,,
11,何忠华,湖北小曲,,
省级非物质文化遗产名录项目代表性传承人（共三批44人、第一批12人）,,,,
序号,传承人,项目名称,,备注
1,陈伯华,汉剧,,
2,胡和颜,汉剧,,
3,程彩萍,汉剧,,
4,张一平,楚剧,,
5,何祚欢,湖北评书,,
6,张明智,湖北大鼓,,
7,何忠华,湖北小曲,,
8,姚俐玲,湖北小曲,,
9,龙从发,武汉木雕船模,,
10,潘正斌,武汉木雕船模,,
11,任本荣,汉绣,,
12,高永铨,高洪太铜锣制作技艺,,
省级非物质文化遗产名录项目代表性传承人（第二批12人）,,,,
序号,传承人,项目名称,,备注
13,程良美,汉剧,,
14,姚长生,汉剧,,
15,刘敏,汉剧,,
16,钟惠然,楚剧,,
17,荣明祥,楚剧,,
18,张光明,楚剧,,
19,李光明,高龙,,
20,黄新民,牌子锣鼓,,
21,顾耀宗,单弦拉戏,,
22,马守志,老通城豆皮制作技艺,,
23,汪兆辉,武当纯阳拳,,
24,马彩丽,马应龙眼药制作技艺,,
省级非物质文化遗产名录项目代表性传承人（第三批21人）,,,,
序号,传承人,项目名称,,备注
25,叶蔚璋,木兰传说,,
26,黄三龙,牌子锣,,
27,李金钊,汉剧,,
28,贾振南,汉剧,,
29,吴思谦,汉剧,,
30,陈受新,汉剧,,
31,危鸣,汉剧,,
32,朱彬,楚剧,,
33,于盛乐,楚剧,,
34,付群刚,湖北大鼓,,
35,李和发,湖北大鼓,,
36,袁大昌,索河善书,,
37,黄春萍,汉绣,,
38,刘国瑞,武汉花灯扎制技艺,,
39,易厚庆,黄陂泥塑,,
40,彭发生,黄陂泥塑,,
41,王永中,蔡林记热干面制作技艺,,
42,喻少林,武汉小桃园煨汤技艺,,
43,孙昌弼,老大兴园t鱼制作技艺,,
44,杨德元,黄陂杨楼子G榨坊榨油技艺,,
45,张义生,彭银亭中药炮制工艺,,
市级非物质文化遗产名录项目代表性传承人（第一批84人）,,,,
序号,传承人,项目名称,备注,
1,陈伯华,汉剧,★武汉市,
2,胡和颜,汉剧,★武汉市,
3,程彩萍,汉剧,★武汉市,
4,张一平,楚剧,★武汉市,
5,何祚欢,湖北评书,★武汉市,
6,张明智,湖北大鼓,★武汉市,
7,龙从发,武汉木雕船模,★~口区,
8,程良美,汉剧,★武汉市,
9,荣明祥,楚剧,★武汉市,
10,张光明,楚剧,★武汉市,
11,何忠华,湖北小曲,★武汉市,
12,姚俐玲,湖北小曲,☆武汉市,
13,潘正斌,武汉木雕船模,☆~口区,
14,任本荣,汉绣,☆江汉区,
15,姚长生,汉剧,☆武汉市,
16,刘敏,汉剧,☆武汉市,
17,钟惠然,楚剧,☆武汉市,
18,李光明,高龙,☆汉阳区,
19,黄新民,牌子锣鼓,☆新洲区,
20,顾耀宗,单弦拉戏,☆江汉区,
21,马守志,老通城豆皮制作技艺,☆江岸区,
22,汪兆辉,武当纯阳拳,☆武昌区,
23,马彩丽,马应龙制药技艺,☆武昌区,
24,叶蔚璋,木兰传说,☆黄陂区,
25,黄三龙,牌子锣,☆新洲区,
26,李金钊,汉剧,☆武汉市,
27,贾振南,汉剧,☆武汉市,
28,吴思谦,汉剧,☆武汉市,
29,陈受新,汉剧,☆武汉市,
30,危鸣,汉剧,☆武汉市,
31,朱彬,楚剧,☆武汉市,
32,于盛乐,楚剧,☆武汉市,
33,付群刚,湖北大鼓,☆武汉市,
34,李和发,湖北大鼓,☆黄陂区,
35,袁大昌,索河善书,☆蔡甸区,
36,黄春萍,汉绣,☆江汉区,
37,刘国瑞,武汉花灯扎制技艺,☆汉阳区,
38,易厚庆,黄陂泥塑,☆黄陂区,
39,彭发生,黄陂泥塑,☆黄陂区,
40,王永中,蔡林记热干面制作技艺,☆江汉区,
41,喻少林,武汉小桃园煨汤技艺,☆江汉区,
42,孙昌弼,老大兴园t鱼制作技艺,☆~口区,
43,杨德元,黄陂杨楼子G榨坊榨油技艺,☆黄陂区,
44,张义生,彭银亭中药炮制工艺,☆江岸区,
45,明德运,黄陂民间彩词,黄陂区,
46,顾丽敏,单弦拉戏,江汉区,
47,熊建生,汉口码头号子,~口区,
48,张洪文,八十八行,新洲区,
49,刘卫祥,高龙,汉阳区,
50,朱汉生,武汉采莲船,江夏区,
51,李耀渔,鳌鱼灯,黄陂区,
52,刘元生,高跷故事亭子,黄陂区,
53,刘贵忠,墨龙灯,黄陂区,
54,钟申世,高跷狮子,新洲区,
55,张福林,高跷狮子,新洲区,
56,邱绪朋,高跷亭子,新洲区,
57,袁忠玉,汉剧,武汉市,
58,周淑莲,楚剧,武汉市,
59,王筱枝,楚剧,武汉市,
60,涂崇华,楚剧,武汉市,
61,夏青玲,楚剧,武汉市,
62,陈明章,黄陂花鼓戏,黄陂区,
63,王仁波,新洲皮影戏,新洲区,
64,魏志勇,湖北大鼓,新洲区,
65,夏菊花,顶碗,武汉市,
66,甘治国,木兰武术,黄陂区,
67,童建国,小口径瓶内画,~口区,
68,刘士标,武汉剪纸,青山区,
69,江先孝,武汉剪纸,青山区,
70,沈松柏,武汉剪纸,青山区,
71,阎民怡,明式家具微缩技艺,青山区,
72,周宗庆,黄陂木版年画,黄陂区,
73,梅俊先,黄陂泥塑,黄陂区,
74,黄圣辉,汉绣,江汉区,
75,姜成国,汉绣,江汉区,
76,任炜,汉绣,江汉区,
77,王燕,汉绣,江汉区,
78,夏端阳,武汉花灯扎制技艺,汉阳区,
79,柳长瑛,青山麻烘糕制作技艺,青山区,
80,陆国年,高洪太铜锣制作技艺,洪山区,
81,高金华,高洪太铜锣制作技艺,洪山区,
82,刘涛,汤逊湖、大嘴鱼丸制作技艺,汉南区,
83,蔡建新,张介安中医儿科诊疗技术,江岸区,
84,梅珍珠,梅竹青跌打损伤疗法,汉阳区,
